idx,iso3,spbleu,comet
358,bel_dan,15.61,78.21
359,bel_deu,15.83,74.99
360,bel_ell,17.04,79.16
361,bel_eng,18.32,75.52
362,bel_est,12.67,79.47
363,bel_fas,14.73,75.74
364,bel_fin,13.58,80.88
365,bel_fra,20.82,73.17
366,bel_glg,14.96,74.39
367,bel_guj,13.6,75.31
368,bel_heb,15.67,75.54
369,bel_hin,14.14,63.24
370,bel_hrv,13.47,80.57
371,bel_hun,13.32,75.68
372,bel_hye,15.02,77.27
373,bel_ind,15.13,78.62
374,bel_isl,10.58,73.05
375,bel_ita,15.79,77.02
376,bel_jav,8.76,76.88
377,bel_jpn,13.52,80.44
378,bel_kan,13.29,72.07
379,bel_kat,15.52,75.2
380,bel_kaz,12.19,80.22
381,bel_khm,9.09,68.58
382,bel_kir,10.63,77.97
383,bel_kor,11.34,78.05
384,bel_lao,13.49,72.07
385,bel_lav,13.75,80.07
386,bel_lit,13.79,80.99
387,bel_mal,13.76,73.69
388,bel_mkd,14.61,79.95
389,bel_msa,13.46,75.99
390,bel_mya,8.65,74.47
391,bel_nld,14.84,76.44
392,bel_nob,12.89,77.74
393,bel_npi,11.13,65.04
394,bel_pan,13.53,68.7
395,bel_pol,14.53,80.62
396,bel_por,18.31,75.89
397,bel_ron,16.57,77.83
398,bel_rus,17.22,82.92
399,bel_slk,13.3,79.48
400,bel_slv,13.18,79.49
401,bel_spa,14.9,74.41
402,bel_srp,13.63,79.94
403,bel_swe,15.63,77.56
404,bel_swh,11.12,71.24
405,bel_tam,14.59,77.69
406,bel_tel,15.85,74.09
407,bel_tgl,14.53,73.72
408,bel_tha,21.37,77.36
409,bel_tur,13.41,74.92
410,bel_ukr,15.15,82.7
411,bel_urd,11.1,68.39
412,bel_uzb,13.52,79.58
413,bel_vie,17.17,77.98
414,bel_yue,14.05,79.13
415,ben_afr,15.77,75.28
416,ben_amh,9.82,73.73
417,ben_ara,16.14,75.04
418,ben_asm,8.89,72.57
419,ben_azj,9.42,72.94
420,ben_bel,11.62,77.54
421,ben_bos,13.16,79.53
422,ben_bul,18.14,79.09
423,ben_cat,17.72,76.24
424,ben_ces,14.28,79.28
425,ben_cmn,17.16,76.94
426,ben_cym,13.93,72.74
427,ben_dan,15.72,78.63
428,ben_deu,16.06,74.38
429,ben_ell,16.05,78.05
430,ben_eng,19.35,78.74
431,ben_est,12.31,79.42
432,ben_fas,15.17,75.5
433,ben_fin,13.22,80.02
434,ben_fra,19.44,73.81
435,ben_glg,14.21,75.52
436,ben_guj,15.18,76.09
437,ben_heb,16.3,76.53
438,ben_hin,15.41,65.26
439,ben_hrv,12.58,79.08
440,ben_hun,13.48,75.94
441,ben_hye,15.42,77.74
442,ben_ind,16.05,79.19
443,ben_isl,11.01,73.75
444,ben_ita,14.85,76.2
445,ben_jav,9.23,78.02
446,ben_jpn,14.71,79.86
447,ben_kan,14.48,72.61
448,ben_kat,14.29,74.15
449,ben_kaz,12.3,77.28
450,ben_khm,8.89,70.62
451,ben_kir,10.37,75.06
452,ben_kor,12.02,77.18
453,ben_lao,13.51,73.04
454,ben_lav,13.09,79.38
455,ben_lit,12.72,79.84
456,ben_mal,15.65,74.08
457,ben_mkd,14.73,77.06
458,ben_msa,14.39,77.36
459,ben_mya,9.13,75.68
460,ben_nld,14.82,76.44
461,ben_nob,12.69,78.09
462,ben_npi,12.91,66.78
463,ben_pan,15.14,70.91
464,ben_pol,12.68,79.08
465,ben_por,18.71,77.08
466,ben_ron,16.86,77.63
467,ben_rus,15.75,78.35
468,ben_slk,12.59,78.53
469,ben_slv,12.97,77.88
470,ben_spa,13.77,75.23
471,ben_srp,14.4,76.36
472,ben_swe,16.1,78.04
473,ben_swh,12.26,73.98
474,ben_tam,15.75,78.2
475,ben_tel,16.67,73.78
476,ben_tgl,15.03,75.77
477,ben_tha,20.76,77.05
478,ben_tur,14.11,75.1
479,ben_ukr,14.31,78.71
480,ben_urd,12.6,70.99
481,ben_uzb,12.86,78.67
482,ben_vie,17.16,78.02
483,ben_yue,15.05,78.24
484,bos_afr,26.1,79.4
485,bos_amh,12.87,76.27
486,bos_ara,24.91,80.85
487,bos_asm,10.66,72.08
488,bos_azj,14.13,79.7
489,bos_bel,18.89,83.48
490,bos_ben,20.32,78.34
491,bos_bul,31.44,86.45
492,bos_cat,28.5,82.32
493,bos_ces,25.39,87.43
494,bos_cmn,25.53,83.38
495,bos_cym,22.19,75.77
496,bos_dan,27.56,85.26
497,bos_deu,26.73,81.95
498,bos_ell,26.34,84.65
499,bos_eng,34.56,83.79
500,bos_est,21.11,86.01
501,bos_fas,23.97,82.15
502,bos_fin,21.86,86.81
503,bos_fra,32.67,81.06
504,bos_glg,24.28,81.72
505,bos_guj,21.02,80.95
506,bos_heb,27.18,81.79
507,bos_hin,22.44,70.99
508,bos_hrv,17.73,86.06
509,bos_hun,21.04,83.3
510,bos_hye,23.31,83.15
511,bos_ind,26.66,85.52
512,bos_isl,17.18,78.68
513,bos_ita,23.28,83.21
514,bos_jav,14.39,82.22
515,bos_jpn,21.44,85.98
516,bos_kan,19.71,77.77
517,bos_kat,21.8,80.15
518,bos_kaz,19.67,83.95
519,bos_khm,13.36,74.1
520,bos_kir,15.83,80.75
521,bos_kor,18.02,83.84
522,bos_lao,20.32,76.38
523,bos_lav,22.2,85.35
524,bos_lit,20.85,86.12
525,bos_mal,20.49,79.01
526,bos_mkd,26.69,85.23
527,bos_msa,22.78,83.23
528,bos_mya,12.32,79.44
529,bos_nld,22.37,82.87
530,bos_nob,22.12,84.47
531,bos_npi,17.93,73.2
532,bos_pan,20.7,75.18
533,bos_pol,22.28,86.39
534,bos_por,30.08,83.04
535,bos_ron,27.9,85.06
536,bos_rus,27.52,85.58
537,bos_slk,23.22,86.21
538,bos_slv,21.57,86.36
539,bos_spa,22.25,80.93
540,bos_srp,28.12,86.91
541,bos_swe,28.06,84.91
542,bos_swh,19.8,77.6
543,bos_tam,22.46,83.77
544,bos_tel,23.59,79.05
545,bos_tgl,23.21,79.71
546,bos_tha,29.84,82.26
547,bos_tur,22.18,82.36
548,bos_ukr,24.95,85.85
549,bos_urd,17.17,75.59
550,bos_uzb,20.48,84.53
551,bos_vie,26.85,84.16
552,bos_yue,21.5,84.08
553,bul_afr,24.89,79.11
554,bul_amh,13.08,75.94
555,bul_ara,24.38,80.68
556,bul_asm,10.33,71.69
557,bul_azj,13.76,78.95
558,bul_bel,18.59,84.35
559,bul_ben,19.48,76.96
560,bul_bos,23.21,85.66
561,bul_cat,27.72,81.31
562,bul_ces,24.03,85.84
563,bul_cmn,24.77,82.73
564,bul_cym,21.97,75.07
565,bul_dan,26.69,83.95
566,bul_deu,26.98,80.99
567,bul_ell,24.97,83.83
568,bul_eng,33.48,83.1
569,bul_est,20.68,84.25
570,bul_fas,22.52,81.58
571,bul_fin,22.67,86.42
572,bul_fra,32.9,80.61
573,bul_glg,23.27,80.63
574,bul_guj,20.07,80.2
575,bul_heb,26.84,82.05
576,bul_hin,21.5,69.08
577,bul_hrv,22.51,85.81
578,bul_hun,20.85,82.49
579,bul_hye,22.61,82.33
580,bul_ind,26.99,84.96
581,bul_isl,16.13,77.52
582,bul_ita,23.68,82.79
583,bul_jav,14.21,81.29
584,bul_jpn,20.89,85.21
585,bul_kan,19.82,76.34
586,bul_kat,21.17,79.23
587,bul_kaz,18.87,84.35
588,bul_khm,12.35,73.38
589,bul_kir,15.48,81.79
590,bul_kor,17.74,83.01
591,bul_lao,19.49,76.5
592,bul_lav,22.14,84.77
593,bul_lit,19.89,85.08
594,bul_mal,20.09,77.87
595,bul_mkd,23.33,85.65
596,bul_msa,23.19,82.49
597,bul_mya,12.19,78.48
598,bul_nld,22.09,81.77
599,bul_nob,21.13,83.44
600,bul_npi,16.7,71.75
601,bul_pan,20.36,74.28
602,bul_pol,21.01,85.13
603,bul_por,30.58,82.77
604,bul_ron,28.81,84.69
605,bul_rus,26.9,86.65
606,bul_slk,23.11,85.51
607,bul_slv,21.38,84.74
608,bul_spa,22.14,80.61
609,bul_srp,23.8,85.23
610,bul_swe,28.39,83.79
611,bul_swh,19.21,76.62
612,bul_tam,21.41,82.37
613,bul_tel,22.69,78.84
614,bul_tgl,22.54,79.23
615,bul_tha,29.91,82.46
616,bul_tur,22.57,81.47
617,bul_ukr,23.43,86.9
618,bul_urd,16.46,73.2
619,bul_uzb,18.62,82.98
620,bul_vie,26.79,84.01
621,bul_yue,20.24,83.79
622,cat_afr,28.59,79.69
623,cat_amh,13.21,77.94
624,cat_ara,26.78,82.64
625,cat_asm,10.7,74.48
626,cat_azj,15.11,81.48
627,cat_bel,18.91,83.86
628,cat_ben,20.25,79.95
629,cat_bos,24.84,87.15
630,cat_bul,32.59,86.63
631,cat_ces,25.29,87.28
632,cat_cmn,26.25,84.9
633,cat_cym,23.45,75.87
634,cat_dan,29.68,85.38
635,cat_deu,28.46,81.7
636,cat_ell,27.16,85.35
637,cat_eng,38.28,84.7
638,cat_est,21.49,86.26
639,cat_fas,24.65,83.49
640,cat_fin,23.16,87.49
641,cat_fra,35.35,82.39
642,cat_glg,27.39,83.23
643,cat_guj,21.72,83.16
644,cat_heb,28.78,83.73
645,cat_hin,23.15,72.89
646,cat_hrv,23.93,87.12
647,cat_hun,21.96,83.91
648,cat_hye,23.8,84.8
649,cat_ind,28.03,86.31
650,cat_isl,17.88,78.41
651,cat_ita,26.44,84.66
652,cat_jav,14.34,82.01
653,cat_jpn,22.67,87.68
654,cat_kan,20.17,79.5
655,cat_kat,21.35,81.11
656,cat_kaz,18.61,84.62
657,cat_khm,13.31,75.82
658,cat_kir,15.54,81.71
659,cat_kor,19.07,85.04
660,cat_lao,21.13,78.79
661,cat_lav,22.59,85.61
662,cat_lit,21.31,85.83
663,cat_mal,21.03,80.81
664,cat_mkd,26.19,84.59
665,cat_msa,24.56,83.52
666,cat_mya,12.68,80.37
667,cat_nld,24.15,83.11
668,cat_nob,23.18,84.7
669,cat_npi,18.83,75.51
670,cat_pan,21.03,76.9
671,cat_pol,22.79,86.53
672,cat_por,34.06,84.56
673,cat_ron,30.96,86.09
674,cat_rus,29.0,85.87
675,cat_slk,23.9,86.13
676,cat_slv,21.79,85.7
677,cat_spa,24.82,82.31
678,cat_srp,26.08,85.37
679,cat_swe,30.76,85.13
680,cat_swh,21.22,78.01
681,cat_tam,22.99,84.62
682,cat_tel,24.21,81.08
683,cat_tgl,23.88,79.74
684,cat_tha,30.59,83.86
685,cat_tur,24.07,83.81
686,cat_ukr,26.11,85.85
687,cat_urd,17.86,76.59
688,cat_uzb,20.76,84.94
689,cat_vie,29.24,84.71
690,cat_yue,22.65,85.49
691,ces_afr,24.21,80.47
692,ces_amh,12.77,76.73
693,ces_ara,24.31,81.04
694,ces_asm,10.07,71.46
695,ces_azj,13.93,79.89
696,ces_bel,18.52,84.26
697,ces_ben,19.73,77.77
698,ces_bos,22.79,86.76
699,ces_bul,29.42,86.2
700,ces_cat,26.75,81.99
701,ces_cmn,24.3,83.46
702,ces_cym,21.01,75.81
703,ces_dan,26.64,85.2
704,ces_deu,26.54,83.0
705,ces_ell,24.43,84.42
706,ces_eng,33.02,83.73
707,ces_est,19.14,86.03
708,ces_fas,22.62,82.32
709,ces_fin,22.3,87.55
710,ces_fra,31.81,81.33
711,ces_glg,23.01,81.9
712,ces_guj,20.02,80.36
713,ces_heb,25.79,82.1
714,ces_hin,20.63,70.38
715,ces_hrv,21.58,86.83
716,ces_hun,20.87,83.94
717,ces_hye,21.94,83.18
718,ces_ind,25.19,85.91
719,ces_isl,15.8,78.99
720,ces_ita,23.01,83.54
721,ces_jav,13.72,82.57
722,ces_jpn,20.27,86.12
723,ces_kan,18.42,77.47
724,ces_kat,20.49,80.3
725,ces_kaz,18.67,83.78
726,ces_khm,12.08,74.2
727,ces_kir,15.28,81.13
728,ces_kor,17.35,83.11
729,ces_lao,19.44,77.2
730,ces_lav,21.5,85.5
731,ces_lit,19.58,86.0
732,ces_mal,18.72,78.71
733,ces_mkd,24.07,84.24
734,ces_msa,22.39,83.39
735,ces_mya,11.21,79.13
736,ces_nld,22.55,83.91
737,ces_nob,20.64,84.14
738,ces_npi,16.35,72.23
739,ces_pan,19.05,74.83
740,ces_pol,21.12,86.52
741,ces_por,28.46,82.95
742,ces_ron,27.77,85.29
743,ces_rus,25.84,86.06
744,ces_slk,22.93,87.07
745,ces_slv,21.05,86.17
746,ces_spa,21.41,80.85
747,ces_srp,23.82,84.84
748,ces_swe,27.99,85.57
749,ces_swh,18.6,76.78
750,ces_tam,21.6,83.14
751,ces_tel,22.63,79.2
752,ces_tgl,20.78,79.6
753,ces_tha,29.08,82.35
754,ces_tur,20.72,82.37
755,ces_ukr,24.12,86.33
756,ces_urd,16.29,75.04
757,ces_uzb,19.11,84.36
758,ces_vie,26.38,84.06
759,ces_yue,20.94,84.12
760,cmn_afr,18.06,78.36
761,cmn_amh,9.82,76.0
762,cmn_ara,19.21,80.02
763,cmn_asm,8.0,72.51
764,cmn_azj,11.24,79.22
765,cmn_bel,15.11,82.9
766,cmn_ben,15.46,77.69
767,cmn_bos,16.25,84.76
768,cmn_bul,22.43,84.05
769,cmn_cat,21.19,80.81
770,cmn_ces,17.21,84.94
771,cmn_cym,16.12,74.71
772,cmn_dan,19.76,83.25
773,cmn_deu,19.12,80.02
774,cmn_ell,19.31,82.7
775,cmn_eng,23.0,81.59
776,cmn_est,14.72,83.57
777,cmn_fas,17.42,80.89
778,cmn_fin,16.74,85.08
779,cmn_fra,23.97,78.88
780,cmn_glg,16.86,80.69
781,cmn_guj,16.11,79.24
782,cmn_heb,18.52,80.2
783,cmn_hin,16.85,68.68
784,cmn_hrv,16.93,84.7
785,cmn_hun,15.9,81.18
786,cmn_hye,17.11,81.88
787,cmn_ind,19.86,83.69
